chroma_stft-max,chroma_stft-mean,chroma_stft-min,chroma_stft-std,file_name,file_path,mfcc0,mfcc1,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,rms-max,rms-mean,rms-min,rms-std,spec_bw-max,spec_bw-mean,spec_bw-min,spec_bw-std,spec_cent-max,spec_cent-mean,spec_cent-min,spec_cent-std,spec_rolloff-max,spec_rolloff-mean,spec_rolloff-min,spec_rolloff-std,zcr-max,zcr-mean,zcr-min,zcr-std
1.0000000000e+00,3.9767807722e-01,2.2723795846e-02,2.6853820682e-01,000010.mp3,/Users/adamsrosales/Documents/repos/CS467-Project/genreml/fma_data/000010.mp3,2.0012655258e+00,2.0012655258e+00,2.0012655258e+00,2.0012655258e+00,2.0012655258e+00,2.0012655258e+00,2.0012655258e+00,2.0012655258e+00,2.0012655258e+00,2.0012655258e+00,2.0012655258e+00,2.0012655258e+00,2.0012655258e+00,2.0012655258e+00,2.0012655258e+00,2.0012655258e+00,2.0012655258e+00,2.0012655258e+00,2.0012655258e+00,2.0012655258e+00,3.2334038615e-01,1.8812757730e-01,9.9908493459e-02,4.4864561409e-02,3.0434115929e+03,2.0515255616e+03,1.3892471007e+03,3.4021306367e+02,4.2270155649e+03,2.3493325719e+03,1.5058338195e+03,3.7691287910e+02,7.9134521484e+03,4.3149905745e+03,2.9608154297e+03,8.2979640721e+02,3.2031250000e-01,1.4862948675e-01,7.0800781250e-02,2.8288223529e-02
1.0000000000e+00,4.2455437779e-01,2.9163102154e-03,3.0184397101e-01,000005.mp3,/Users/adamsrosales/Documents/repos/CS467-Project/genreml/fma_data/000005.mp3,2.4131834507e+00,2.4131834507e+00,2.4131834507e+00,2.4131834507e+00,2.4131834507e+00,2.4131834507e+00,2.4131834507e+00,2.4131834507e+00,2.4131834507e+00,2.4131834507e+00,2.4131834507e+00,2.4131834507e+00,2.4131834507e+00,2.4131834507e+00,2.4131834507e+00,2.4131834507e+00,2.4131834507e+00,2.4131834507e+00,2.4131834507e+00,2.4131834507e+00,3.4974116087e-01,1.4877611399e-01,3.2495032996e-02,8.0983184278e-02,3.9580349497e+03,2.5986749493e+03,1.3742439166e+03,4.0405657434e+02,5.6590726922e+03,2.4140887093e+03,8.4769373337e+02,8.7004996788e+02,9.8514404297e+03,5.4369755791e+03,1.6688232422e+03,1.5923414836e+03,4.8339843750e-01,1.0006857840e-01,9.2773437500e-03,6.6540749354e-02
1.0000000000e+00,3.9693561196e-01,2.4935153779e-03,2.9425501823e-01,000002.mp3,/Users/adamsrosales/Documents/repos/CS467-Project/genreml/fma_data/000002.mp3,-6.4339071512e-01,-6.4339071512e-01,-6.4339071512e-01,-6.4339071512e-01,-6.4339071512e-01,-6.4339071512e-01,-6.4339071512e-01,-6.4339071512e-01,-6.4339071512e-01,-6.4339071512e-01,-6.4339071512e-01,-6.4339071512e-01,-6.4339071512e-01,-6.4339071512e-01,-6.4339071512e-01,-6.4339071512e-01,-6.4339071512e-01,-6.4339071512e-01,-6.4339071512e-01,-6.4339071512e-01,4.0085825324e-01,1.4517816901e-01,2.1372662857e-02,7.8911915421e-02,3.7333078730e+03,2.6898696891e+03,1.5655589002e+03,3.5738084135e+02,6.8770557041e+03,3.0374820851e+03,8.2566501813e+02,9.9008634739e+02,9.6468750000e+03,6.2139040920e+03,1.5180908203e+03,1.5099871288e+03,6.1181640625e-01,1.6368532919e-01,2.9296875000e-02,9.3387180311e-02
1.0000000000e+00,1.8257558346e-01,3.0493130907e-05,3.1118822098e-01,001082.mp3,/Users/adamsrosales/Documents/repos/CS467-Project/genreml/fma_data/001082.mp3,-1.5446871758e+01,-1.5446871758e+01,-1.5446871758e+01,-1.5446871758e+01,-1.5446871758e+01,-1.5446871758e+01,-1.5446871758e+01,-1.5446871758e+01,-1.5446871758e+01,-1.5446871758e+01,-1.5446871758e+01,-1.5446871758e+01,-1.5446871758e+01,-1.5446871758e+01,-1.5446871758e+01,-1.5446871758e+01,-1.5446871758e+01,-1.5446871758e+01,-1.5446871758e+01,-1.5446871758e+01,5.0007432699e-01,1.4030237496e-01,5.0391019322e-03,7.5918003917e-02,1.9520165256e+03,9.5068985927e+02,6.1871330446e+02,1.8368030561e+02,1.7374905276e+03,1.0165297160e+03,7.1803684587e+02,1.4074117002e+02,3.3807128906e+03,1.5036520832e+03,8.1826171875e+02,3.4866474571e+02,1.1132812500e-01,6.4590961548e-02,3.3203125000e-02,1.4456002163e-02
1.0000000000e+00,3.6879336834e-01,1.3986648992e-02,2.7517175674e-01,001069.mp3,/Users/adamsrosales/Documents/repos/CS467-Project/genreml/fma_data/001069.mp3,4.3568596840e+00,4.3568596840e+00,4.3568596840e+00,4.3568596840e+00,4.3568596840e+00,4.3568596840e+00,4.3568596840e+00,4.3568596840e+00,4.3568596840e+00,4.3568596840e+00,4.3568596840e+00,4.3568596840e+00,4.3568596840e+00,4.3568596840e+00,4.3568596840e+00,4.3568596840e+00,4.3568596840e+00,4.3568596840e+00,4.3568596840e+00,4.3568596840e+00,4.6378120780e-01,1.7962199450e-01,4.6848494560e-02,6.5273895860e-02,3.0651110311e+03,2.0949121491e+03,1.1791632753e+03,4.1030586892e+02,4.2645034181e+03,2.2243442657e+03,9.4512291680e+02,6.1317908885e+02,7.9565185547e+03,4.2909073868e+03,1.7764892578e+03,1.3084638613e+03,2.8906250000e-01,1.3384423979e-01,3.1738281250e-02,4.5886148216e-02
1.0000000000e+00,5.1072490215e-01,1.9814673811e-02,2.6865711808e-01,001040.mp3,/Users/adamsrosales/Documents/repos/CS467-Project/genreml/fma_data/001040.mp3,6.8332419395e+00,6.8332419395e+00,6.8332419395e+00,6.8332419395e+00,6.8332419395e+00,6.8332419395e+00,6.8332419395e+00,6.8332419395e+00,6.8332419395e+00,6.8332419395e+00,6.8332419395e+00,6.8332419395e+00,6.8332419395e+00,6.8332419395e+00,6.8332419395e+00,6.8332419395e+00,6.8332419395e+00,6.8332419395e+00,6.8332419395e+00,6.8332419395e+00,4.8706361651e-01,3.4648934007e-01,1.2521195412e-01,7.4712082744e-02,2.9321533337e+03,2.4642516239e+03,1.7645481329e+03,1.7997419944e+02,3.9255853772e+03,2.5934261634e+03,1.6279980290e+03,4.0905641234e+02,7.3966552734e+03,5.4637086284e+03,3.0038818359e+03,6.4448946390e+02,2.8417968750e-01,1.2830685831e-01,4.3945312500e-02,4.3437640346e-02
1.0000000000e+00,3.4925839305e-01,9.9450908601e-03,2.8680032492e-01,001083.mp3,/Users/adamsrosales/Documents/repos/CS467-Project/genreml/fma_data/001083.mp3,5.5551986694e+00,5.5551986694e+00,5.5551986694e+00,5.5551986694e+00,5.5551986694e+00,5.5551986694e+00,5.5551986694e+00,5.5551986694e+00,5.5551986694e+00,5.5551986694e+00,5.5551986694e+00,5.5551986694e+00,5.5551986694e+00,5.5551986694e+00,5.5551986694e+00,5.5551986694e+00,5.5551986694e+00,5.5551986694e+00,5.5551986694e+00,5.5551986694e+00,4.3263334036e-01,2.9504844546e-01,1.7475214601e-01,4.4042650610e-02,2.8775377143e+03,1.8945628651e+03,1.3870320215e+03,2.9766950526e+02,2.6455194108e+03,1.6347637904e+03,9.9026695552e+02,3.3405178262e+02,6.3199951172e+03,3.2742052013e+03,2.0564208984e+03,8.5417734155e+02,1.4941406250e-01,6.6010560783e-02,2.1484375000e-02,2.1739780614e-02
1.0000000000e+00,5.6778454781e-01,5.4023258388e-02,2.5112324953e-01,001039.mp3,/Users/adamsrosales/Documents/repos/CS467-Project/genreml/fma_data/001039.mp3,9.1709556580e+00,9.1709556580e+00,9.1709556580e+00,9.1709556580e+00,9.1709556580e+00,9.1709556580e+00,9.1709556580e+00,9.1709556580e+00,9.1709556580e+00,9.1709556580e+00,9.1709556580e+00,9.1709556580e+00,9.1709556580e+00,9.1709556580e+00,9.1709556580e+00,9.1709556580e+00,9.1709556580e+00,9.1709556580e+00,9.1709556580e+00,9.1709556580e+00,3.6208975315e-01,2.7247208357e-01,1.7154194415e-01,3.1771883368e-02,3.0450699567e+03,2.2667962692e+03,1.6995173167e+03,2.2630626364e+02,3.1843132913e+03,2.2480679364e+03,1.5686092569e+03,2.9633747838e+02,7.2997558594e+03,4.5371642311e+03,3.1330810547e+03,6.1898391375e+02,1.9433593750e-01,1.0020234194e-01,4.0039062500e-02,2.2347443701e-02
1.0000000000e+00,3.2506692410e-01,1.0058486805e-04,2.9161596298e-01,001066.mp3,/Users/adamsrosales/Documents/repos/CS467-Project/genreml/fma_data/001066.mp3,-1.0912606716e+00,-1.0912606716e+00,-1.0912606716e+00,-1.0912606716e+00,-1.0912606716e+00,-1.0912606716e+00,-1.0912606716e+00,-1.0912606716e+00,-1.0912606716e+00,-1.0912606716e+00,-1.0912606716e+00,-1.0912606716e+00,-1.0912606716e+00,-1.0912606716e+00,-1.0912606716e+00,-1.0912606716e+00,-1.0912606716e+00,-1.0912606716e+00,-1.0912606716e+00,-1.0912606716e+00,1.8107326329e-01,6.9974511862e-02,2.0417738706e-02,2.3376900703e-02,2.2402627903e+03,1.4627783685e+03,6.7574512684e+02,2.9783299372e+02,2.3470569155e+03,1.1458175349e+03,4.4054700658e+02,3.3744509951e+02,4.5758056641e+03,2.1817481375e+03,8.2902832031e+02,7.7454414469e+02,1.3574218750e-01,5.7047714859e-02,1.6113281250e-02,1.8573625391e-02
1.0000000000e+00,4.3201795220e-01,1.2457538396e-02,2.8396770358e-01,001073.mp3,/Users/adamsrosales/Documents/repos/CS467-Project/genreml/fma_data/001073.mp3,5.1939826012e+00,5.1939826012e+00,5.1939826012e+00,5.1939826012e+00,5.1939826012e+00,5.1939826012e+00,5.1939826012e+00,5.1939826012e+00,5.1939826012e+00,5.1939826012e+00,5.1939826012e+00,5.1939826012e+00,5.1939826012e+00,5.1939826012e+00,5.1939826012e+00,5.1939826012e+00,5.1939826012e+00,5.1939826012e+00,5.1939826012e+00,5.1939826012e+00,3.1451135874e-01,1.8792387843e-01,6.0065068305e-02,5.1996357739e-02,3.5211942865e+03,2.4415268884e+03,1.0589831368e+03,4.3956330409e+02,5.9101682202e+03,2.2522830420e+03,4.6710789414e+02,7.9721309284e+02,9.2808105469e+03,4.8804263794e+03,5.3833007812e+02,1.6042021424e+03,5.0439453125e-01,9.6671001909e-02,6.8359375000e-03,6.1743009602e-02
