genre_id,genre_color,genre_handle,genre_parent_id,genre_title
1,#006666,Avant-Garde,38,Avant-Garde
2,#CC3300,International,,International
3,#000099,Blues,,Blues
4,#990099,Jazz,,Jazz
5,#8A8A65,Classical,,Classical
6,#4D0000,Novelty,38,Novelty
7,#009999,Comedy,20,Comedy
8,#665666,Old-Time__Historic,,Old-Time / Historic
9,#663366,Country,,Country
10,#009900,Pop,,Pop
11,#E40089,Disco,14,Disco
12,#840000,Rock,,Rock
13,#5B747C,Easy_Listening,126,Easy Listening
14,#330033,Soul-RB,,Soul-RnB
15,#FF6600,Electronic,,Electronic
16,#003366,Sound_Effects,6,Sound Effects
17,#5E6D3F,Folk,,Folk
18,#669933,Soundtrack,1235,Soundtrack
19,#5E6D3F,Funk,14,Funk
20,#006699,Spoken,,Spoken
21,#CC0000,Hip-Hop,,Hip-Hop
22,#dddd00,Audio_Collage,38,Audio Collage
25,#840000,Punk,12,Punk
26,#840000,Post-Rock,12,Post-Rock
27,#840000,Lo-fi,12,Lo-Fi
30,#00eeff,Field_Recordings,38,Field Recordings
31,#777777,Metal,12,Metal
32,#222222,Noise,38,Noise
33,#5E6D3F,Psych-Folk,17,Psych-Folk
36,#840000,Krautrock,12,Krautrock
37,#990099,Jazz_Vocal,4,Jazz: Vocal
38,#dddd00,Experimental,,Experimental
41,#dddd00,Electroacoustic,38,Electroacoustic
42,#FF6600,Ambient_Electronic,15,Ambient Electronic
43,#320000,Radio_Art,65,Radio Art
45,#666666,Loud-Rock,12,Loud-Rock
46,#CC3300,Latin_America,2,Latin America
47,#dddd00,Drone,38,Drone
49,#5E6D3F,Free-Folk,17,Free-Folk
53,#666666,Noise-Rock,45,Noise-Rock
58,#840000,Psych-Rock,12,Psych-Rock
63,#663366,Bluegrass,9,Bluegrass
64,#840000,Electro-punk,25,Electro-Punk
65,#320000,Radio,20,Radio
66,#840000,Indie-Rock,12,Indie-Rock
70,#8400FF,Industrial,12,Industrial
71,#840000,No_Wave,25,No Wave
74,#990099,Free-Jazz,4,Free-Jazz
76,#009870,Experimental_Pop,10,Experimental Pop
